node_id,topo_depth,n_upstream_nodes,betweenness,downstream_paths,node_type_code,is_high_risk,prior_contam_prob,detection_freq,peak_conc_mean,peak_conc_std,time_to_peak_mean,mean_flow_m3s,mean_dist_src
J3,8,1,0.004301,1,0,0,0.029411764705882353,0.0,0.0,0.0,,0.0,-1.0
J4,7,3,0.022581,1,0,1,0.058823529411764705,0.0,0.0,0.0,,0.0,-1.0
J5,6,7,0.045161,1,0,0,0.029411764705882353,0.0,0.0,0.0,,0.0,-1.0
J6,5,10,0.053763,1,0,0,0.029411764705882353,0.2,159.7222,357.1497,9967.0,1.3e-05,-1.0
J7,6,1,0.016129,2,0,0,0.029411764705882353,0.2,71.3368,159.514,9935.0,0.004439,-1.0
J8,4,11,0.047312,1,0,0,0.029411764705882353,0.2,159.7222,357.1497,11205.0,1.2e-05,-1.0
J9,3,12,0.03871,1,0,0,0.029411764705882353,0.2,157.6651,352.5498,11241.0,1.1e-05,-1.0
J10,2,15,0.032258,1,0,1,0.058823529411764705,0.2,141.8553,317.198,11352.0,1.1e-05,-1.0
J11,1,19,0.02043,1,0,0,0.029411764705882353,0.2,129.0279,288.5152,11878.0,0.00219,-1.0
O1,0,20,0.0,1,3,0,0.029411764705882353,0.2,129.0045,288.4628,11917.0,0.002145,-1.0
Aux3,9,0,0.0,3,0,0,0.029411764705882353,0.2,921.7423,2061.0784,6668.0,0.001908,-1.0
J1,8,1,0.019355,2,0,0,0.029411764705882353,1.0,15.1374,0.0004,490.4,0.003584,-1.0
JI7,7,2,0.036559,2,1,0,0.029411764705882353,1.0,14.3421,0.0002,557.4,0.003583,-1.0
J2a,4,0,0.0,2,0,0,0.029411764705882353,0.0,0.0,0.0,,0.00382,-1.0
J2,3,1,0.010753,2,0,0,0.029411764705882353,0.0,0.0,0.0,,0.003822,-1.0
JI9,2,2,0.019355,2,1,0,0.029411764705882353,0.0,0.0,0.0,,0.003779,-1.0
JI6,8,1,0.016129,2,1,0,0.029411764705882353,0.2,862.0639,1927.6336,6670.0,0.001907,-1.0
J13,7,0,0.0,2,0,0,0.029411764705882353,0.2,71.5407,159.9698,9934.0,0.00443,-1.0
J12,4,0,0.0,2,0,0,0.029411764705882353,0.0,0.0,0.0,,0.005246,-1.0
JI8,3,1,0.011828,2,1,0,0.029411764705882353,0.0,0.0,0.0,,0.00522,-1.0
JI1,10,2,0.021505,1,1,0,0.029411764705882353,0.2,862.0639,1927.6336,6671.0,0.001837,-1.0
JI2,9,6,0.058065,1,1,0,0.029411764705882353,1.0,1745.5643,3060.429,3348.8,0.005414,-1.0
JI3,8,9,0.077419,1,1,0,0.029411764705882353,1.0,1209.9437,2123.2321,5280.0,0.009785,-1.0
JI4,7,12,0.090323,1,1,0,0.029411764705882353,0.6,821.9319,1441.9551,5423.0,0.014755,-1.0
JI5,6,16,0.103226,1,1,0,0.029411764705882353,0.6,683.6898,1202.0801,5462.6,0.01829,-1.0
Well,5,17,0.091398,1,0,0,0.029411764705882353,0.6,255.9292,373.0292,7461.4,0.018188,-1.0
JI10,4,18,0.077419,1,1,0,0.029411764705882353,0.6,194.5825,259.9561,8813.6,0.017991,-1.0
JI11,3,19,0.06129,1,1,0,0.029411764705882353,0.6,106.3072,145.1936,10506.4,0.016013,-1.0
JI12,2,20,0.043011,1,1,0,0.029411764705882353,0.6,73.785,98.0463,17453.6,0.012051,-1.0
JI13,1,21,0.022581,1,1,0,0.029411764705882353,0.8,348.6279,619.5705,17788.8,0.008317,-1.0
O2,0,22,0.0,1,3,0,0.029411764705882353,0.6,65.0665,65.7541,20639.0,0.007785,-1.0
entry,9,0,0.0,2,0,0,0.029411764705882353,1.0,101.0,0.0,341.4,0.000283,-1.0
