scen_id,src_node,node_id,dist_src,peak_conc,t_peak_min,mean_flow_m3s,detected
0001,Aux3,J3,-1,0.0,,0.0,0
0001,Aux3,J4,-1,0.0,,0.0,0
0001,Aux3,J5,-1,0.0,,0.0,0
0001,Aux3,J6,-1,0.0,,0.0,0
0001,Aux3,J7,-1,0.0,,0.004423,0
0001,Aux3,J8,-1,0.0,,0.0,0
0001,Aux3,J9,-1,0.0,,0.0,0
0001,Aux3,J10,-1,0.0,,0.0,0
0001,Aux3,J11,-1,0.0,,0.002178,0
0001,Aux3,O1,-1,0.0,,0.002133,0
0001,Aux3,Aux3,-1,4608.7113,6668.0,0.001943,1
0001,Aux3,J1,-1,15.1375,491.0,0.003581,1
0001,Aux3,JI7,-1,14.3421,558.0,0.00358,1
0001,Aux3,J2a,-1,0.0,,0.003817,0
0001,Aux3,J2,-1,0.0,,0.003819,0
0001,Aux3,JI9,-1,0.0,,0.003775,0
0001,Aux3,JI6,-1,4310.3197,6670.0,0.001942,1
0001,Aux3,J13,-1,0.0,,0.004414,0
0001,Aux3,J12,-1,0.0,,0.005242,0
0001,Aux3,JI8,-1,0.0,,0.005215,0
0001,Aux3,JI1,-1,4310.3197,6671.0,0.00187,1
0001,Aux3,JI2,-1,1612.9897,6687.0,0.005435,1
0001,Aux3,JI3,-1,912.7834,6730.0,0.009789,1
0001,Aux3,JI4,-1,607.6463,7001.0,0.014754,1
0001,Aux3,JI5,-1,498.219,7048.0,0.018286,1
0001,Aux3,Well,-1,382.6441,7514.0,0.018184,1
0001,Aux3,JI10,-1,381.6038,7425.0,0.017987,1
0001,Aux3,JI11,-1,193.9099,13835.0,0.01601,1
0001,Aux3,JI12,-1,147.2595,21675.0,0.012048,1
0001,Aux3,JI13,-1,131.1919,21925.0,0.008294,1
0001,Aux3,O2,-1,83.2911,22720.0,0.007758,1
0001,Aux3,entry,-1,101.0,341.0,0.000283,1
0002,JI13,J3,-1,0.0,,0.0,0
0002,JI13,J4,-1,0.0,,0.0,0
0002,JI13,J5,-1,0.0,,0.0,0
0002,JI13,J6,-1,0.0,,0.0,0
0002,JI13,J7,-1,0.0,,0.004422,0
0002,JI13,J8,-1,0.0,,0.0,0
0002,JI13,J9,-1,0.0,,0.0,0
0002,JI13,J10,-1,0.0,,0.0,0
0002,JI13,J11,-1,0.0,,0.002177,0
0002,JI13,O1,-1,0.0,,0.002133,0
0002,JI13,Aux3,-1,0.0,,0.001897,0
0002,JI13,J1,-1,15.1376,491.0,0.00358,1
0002,JI13,JI7,-1,14.3422,558.0,0.003579,1
0002,JI13,J2a,-1,0.0,,0.003816,0
0002,JI13,J2,-1,0.0,,0.003818,0
0002,JI13,JI9,-1,0.0,,0.003775,0
0002,JI13,JI6,-1,0.0,,0.001896,0
0002,JI13,J13,-1,0.0,,0.004413,0
0002,JI13,J12,-1,0.0,,0.005241,0
0002,JI13,JI8,-1,0.0,,0.005215,0
0002,JI13,JI1,-1,0.0,,0.001826,0
0002,JI13,JI2,-1,12.2866,551.0,0.00539,1
0002,JI13,JI3,-1,5.2208,664.0,0.009744,1
0002,JI13,JI4,-1,2.6244,870.0,0.01471,0
0002,JI13,JI5,-1,1.9978,926.0,0.018243,0
0002,JI13,Well,-1,0.676,5123.0,0.018141,0
0002,JI13,JI10,-1,0.676,5124.0,0.017953,0
0002,JI13,JI11,-1,0.5054,5692.0,0.015973,0
0002,JI13,JI12,-1,1.8493,13560.0,0.012019,0
0002,JI13,JI13,-1,1449.8051,10223.0,0.008371,1
0002,JI13,O2,-1,158.6005,13566.0,0.007842,1
0002,JI13,entry,-1,101.0,342.0,0.000283,1
0003,JI2,J3,-1,0.0,,0.0,0
0003,JI2,J4,-1,0.0,,0.0,0
0003,JI2,J5,-1,0.0,,0.0,0
0003,JI2,J6,-1,0.0,,0.0,0
0003,JI2,J7,-1,0.0,,0.004445,0
0003,JI2,J8,-1,0.0,,0.0,0
0003,JI2,J9,-1,0.0,,0.0,0
0003,JI2,J10,-1,0.0,,0.0,0
0003,JI2,J11,-1,0.0,,0.002189,0
0003,JI2,O1,-1,0.0,,0.002143,0
0003,JI2,Aux3,-1,0.0,,0.001907,0
0003,JI2,J1,-1,15.1366,488.0,0.003597,1
0003,JI2,JI7,-1,14.3417,555.0,0.003596,1
0003,JI2,J2a,-1,0.0,,0.003836,0
0003,JI2,J2,-1,0.0,,0.003838,0
0003,JI2,JI9,-1,0.0,,0.003793,0
0003,JI2,JI6,-1,0.0,,0.001906,0
0003,JI2,J13,-1,0.0,,0.004436,0
0003,JI2,J12,-1,0.0,,0.005267,0
0003,JI2,JI8,-1,0.0,,0.00524,0
0003,JI2,JI1,-1,0.0,,0.001835,0
0003,JI2,JI2,-1,7077.9719,8404.0,0.005467,1
0003,JI2,JI3,-1,4948.4702,8405.0,0.009842,1
