node_id,raw_pred,prior_prob
J1,0.070856,0.017384
J2a,0.128153,0.031441
J2,0.13392,0.032856
J7,0.109187,0.026788
J12,0.14323,0.03514
J13,0.103468,0.025385
J3,0.074761,0.018342
J4,0.084974,0.020848
J5,0.112645,0.027637
J6,0.159543,0.039143
J8,0.242809,0.059571
J9,0.277011,0.067962
J10,0.238458,0.058504
J11,0.251851,0.061789
Aux3,0.065296,0.01602
JI18,0.118738,0.029131
JI2,0.129961,0.031885
JI3,0.169113,0.04149
JI4,0.221794,0.054415
JI5,0.25942,0.063647
JI6,0.068811,0.016882
JI7,0.079917,0.019607
JI8,0.153015,0.037541
JI9,0.162721,0.039922
JI10,0.230874,0.056643
JI11,0.134984,0.033117
JI12,0.088021,0.021595
JI13,0.062415,0.015313
O1,0.284575,0.0
O2,0.045874,0.0
Well,0.300235,0.0
