node_id,raw_pred,prior_prob
J1,0.121126,0.030114
J2a,0.172503,0.042887
J2,0.108163,0.026891
J7,0.083891,0.020857
J12,0.170751,0.042452
J13,0.142102,0.035329
J3,0.063735,0.015845
J4,0.063432,0.01577
J5,0.107851,0.026813
J6,0.140445,0.034917
J8,0.271882,0.067594
J9,0.268227,0.066686
J10,0.179345,0.044588
J11,0.260284,0.064711
Aux3,0.118274,0.029405
JI18,0.104615,0.026009
JI2,0.140679,0.034975
JI3,0.143916,0.03578
JI4,0.204242,0.050778
JI5,0.290924,0.072329
JI6,0.066813,0.016611
JI7,0.070665,0.017569
JI8,0.114902,0.028566
JI9,0.167468,0.041635
JI10,0.241998,0.060165
JI11,0.110876,0.027566
JI12,0.055229,0.013731
JI13,0.037916,0.009427
O1,0.330554,0.0
O2,0.027746,0.0
Well,0.374265,0.0
