node_id,raw_pred,prior_prob
J1,0.045973,0.011829
J2a,0.047214,0.012149
J2,0.047656,0.012262
J7,0.055036,0.014161
J12,0.049721,0.012794
J13,0.059015,0.015185
J3,0.099249,0.025538
J4,0.141359,0.036374
J5,0.144815,0.037263
J6,0.14436,0.037146
J8,0.197156,0.050731
J9,0.226212,0.058207
J10,0.228531,0.058804
J11,0.270161,0.069516
Aux3,0.068589,0.017649
JI18,0.148052,0.038096
JI2,0.234456,0.060328
JI3,0.274921,0.070741
JI4,0.338309,0.087051
JI5,0.296886,0.076393
JI6,0.048734,0.01254
JI7,0.058299,0.015001
JI8,0.052248,0.013444
JI9,0.078878,0.020296
JI10,0.265316,0.068269
JI11,0.07493,0.019281
JI12,0.116215,0.029904
JI13,0.074031,0.019049
O1,0.22929,0.0
O2,0.083427,0.0
Well,0.144701,0.0
