node_id,raw_pred,prior_prob
J1,0.017634,0.004929
J2a,0.021284,0.00595
J2,0.036508,0.010205
J7,0.0544,0.015207
J12,0.020436,0.005713
J13,0.02536,0.007089
J3,0.022065,0.006168
J4,0.10715,0.029953
J5,0.192324,0.053762
J6,0.22855,0.063889
J8,0.185593,0.051881
J9,0.186031,0.052003
J10,0.191697,0.053587
J11,0.226125,0.063211
Aux3,0.015622,0.004367
JI18,0.073513,0.02055
JI2,0.212877,0.059508
JI3,0.368716,0.103071
JI4,0.387953,0.108448
JI5,0.269443,0.07532
JI6,0.072259,0.020199
JI7,0.061493,0.01719
JI8,0.046944,0.013123
JI9,0.046726,0.013062
JI10,0.246621,0.06894
JI11,0.190541,0.053264
JI12,0.04939,0.013806
JI13,0.020055,0.005606
O1,0.243624,0.0
O2,0.010041,0.0
Well,0.247885,0.0
