node_id,raw_pred,prior_prob
J1,0.044173,0.011708
J2a,0.044601,0.011821
J2,0.044815,0.011878
J7,0.052344,0.013874
J12,0.048241,0.012786
J13,0.060722,0.016094
J3,0.059095,0.015663
J4,0.131886,0.034956
J5,0.154944,0.041067
J6,0.221765,0.058778
J8,0.212043,0.056201
J9,0.211872,0.056156
J10,0.24416,0.064714
J11,0.271859,0.072056
Aux3,0.051315,0.013601
JI18,0.150524,0.039896
JI2,0.13066,0.034631
JI3,0.211746,0.056123
JI4,0.280148,0.074253
JI5,0.316299,0.083834
JI6,0.049249,0.013053
JI7,0.057155,0.015149
JI8,0.055155,0.014619
JI9,0.054284,0.014388
JI10,0.276914,0.073395
JI11,0.174845,0.046342
JI12,0.090468,0.023978
JI13,0.071634,0.018986
O1,0.237317,0.0
O2,0.106078,0.0
Well,0.121042,0.0
