node_id,topo_depth,n_upstream_nodes,betweenness,downstream_paths,node_type,node_type_code,is_high_risk,prior_contam_prob,detection_freq,peak_conc_mean,peak_conc_std,time_to_peak_mean,n_scenarios_detected,mean_flow_velocity
J1,999,0,0.0,0,J,0,0,0.029411764705882353,0.0307,4.0093,30.2167,2966.85,307,0.0
J2a,999,0,0.0,0,J,0,0,0.029411764705882353,0.0328,3.6015,28.6303,2982.21,328,0.0
J2,999,1,0.003448,0,J,0,0,0.029411764705882353,0.0656,5.9473,34.2248,3027.75,656,0.0
J7,6,1,0.011494,1,J,0,0,0.029411764705882353,0.0635,5.8825,34.4403,2991.66,635,0.0
J12,999,0,0.0,0,J,0,0,0.029411764705882353,0.0306,4.7095,39.614,3054.03,306,0.0
J13,7,0,0.0,1,J,0,0,0.029411764705882353,0.032,3.7974,30.9662,3004.45,320,0.0
J3,8,1,0.009195,1,J,0,0,0.029411764705882353,0.0317,8.3401,67.0714,2248.57,317,0.0
J4,7,2,0.016092,1,J,0,1,0.058823529411764705,0.099,23.941,105.846,2495.97,990,0.0
J5,6,3,0.02069,1,J,0,0,0.029411764705882353,0.127,26.0858,98.6235,2919.07,1270,0.0
J6,5,6,0.034483,1,J,0,0,0.029411764705882353,0.1587,29.1828,96.7501,3025.37,1587,0.0
J8,4,7,0.032184,1,J,0,0,0.029411764705882353,0.19,36.2605,112.0787,3045.1,1900,0.0
J9,3,8,0.027586,1,J,0,0,0.029411764705882353,0.2251,40.1218,110.4285,3213.54,2251,0.0
J10,2,9,0.02069,1,J,0,1,0.058823529411764705,0.2785,34.7045,85.1964,3447.21,2785,0.0
J11,1,10,0.011494,1,J,0,0,0.029411764705882353,0.3095,33.3235,75.9023,3562.26,3095,0.0
Aux3,9,0,0.0,1,aux,2,0,0.029411764705882353,0.032,5.0035,41.4546,2959.81,320,0.0
JI18,999,0,0.0,0,JI,1,1,0.058823529411764705,0.124,15.9045,64.5723,2984.87,1240,0.0
JI2,999,3,0.013793,0,JI,1,0,0.029411764705882353,0.2094,15.7358,47.1413,3027.31,2094,0.0
JI3,999,6,0.02069,0,JI,1,0,0.029411764705882353,0.2888,13.454,33.1933,3023.39,2888,0.0
JI4,999,9,0.02069,0,JI,1,0,0.029411764705882353,0.3543,12.2458,26.0276,3040.99,3543,0.0
JI5,999,13,0.014943,0,JI,1,0,0.029411764705882353,0.4356,12.4416,22.6193,3045.02,4356,0.0
JI6,999,1,0.0,0,JI,1,0,0.029411764705882353,0.061,7.8341,46.2659,2979.58,610,0.0
JI7,999,1,0.005747,0,JI,1,0,0.029411764705882353,0.0609,6.8065,38.2616,3090.69,609,0.0
JI8,999,1,0.003448,0,JI,1,0,0.029411764705882353,0.0615,6.7976,42.5214,3068.75,615,0.0
JI9,999,2,0.004598,0,JI,1,0,0.029411764705882353,0.0944,7.5445,35.4468,3031.37,944,0.0
JI10,4,0,0.0,1,JI,1,0,0.029411764705882353,0.2811,9.9702,55.2918,3579.36,2811,0.0
JI11,3,1,0.003448,1,JI,1,0,0.029411764705882353,0.0759,8.3078,52.439,3748.11,759,0.0
JI12,2,2,0.004598,1,JI,1,0,0.029411764705882353,0.0485,8.1039,55.5596,4634.39,485,0.0
JI13,1,3,0.003448,1,JI,1,0,0.029411764705882353,0.0538,6.1767,44.2992,4710.43,538,0.0
O1,0,11,0.0,1,outfall,3,0,0.029411764705882353,0.3084,33.1642,75.5909,3561.96,3084,0.0
O2,0,4,0.0,1,outfall,3,0,0.029411764705882353,0.025,0.7187,3.1346,4968.9,250,0.0
Well,999,14,0.0,0,storage,4,0,0.029411764705882353,0.3006,3.4726,4.5647,3167.29,3006,0.0
