node_id,topo_depth,n_upstream_nodes,betweenness,downstream_paths,node_type,node_type_code,is_high_risk,prior_contam_prob,detection_freq,peak_conc_mean,peak_conc_std,time_to_peak_mean,mean_flow_m3s,n_scenarios_detected,flow_diversion_fraction,mean_wastewater_flux,mean_contaminant_flux,contaminant_flux_std
J1,8,0,0.0,2,J,0,0,0.0294117647058823,0.0298,3.8612,29.6272,2982.87,0.006587,238,0.0,0.00627686,0.0,0.0
J2a,4,0,0.0,2,J,0,0,0.0294117647058823,0.0338,3.808,30.2376,2979.4,0.010389,270,0.0,0.00988992,5.0772,25.1431
J2,3,1,0.011494,2,J,0,0,0.0294117647058823,0.0668,6.125,34.9964,3040.12,0.010383,534,0.0,0.00988526,7.693,27.293
J7,6,1,0.017241,2,J,0,0,0.0294117647058823,0.0625,5.8031,35.1508,3018.0,0.008707,500,0.0,0.00828606,14.6943,87.4297
J12,4,0,0.0,2,J,0,0,0.0294117647058823,0.029,4.4414,39.1975,3048.87,0.006616,232,0.0,0.00629628,7.965,41.38
J13,7,0,0.0,2,J,0,0,0.0294117647058823,0.0316,3.8828,32.5663,3055.88,0.008716,253,0.0,0.00829566,15.7796,93.8689
J3,8,1,0.004598,1,J,0,0,0.0294117647058823,0.0319,8.6417,68.476,2256.15,1e-06,255,0.0,1.28e-06,6.1502,30.4373
J4,7,3,0.024138,1,J,0,1,0.0588235294117647,0.1005,24.4299,106.1588,2490.86,4e-06,804,0.0,4.84e-06,22.7564,73.6038
J5,6,6,0.041379,1,J,0,0,0.0294117647058823,0.1292,26.6758,98.7988,2916.81,5e-06,1034,0.0,4.9e-06,32.5873,101.1451
J6,5,9,0.051724,1,J,0,0,0.0294117647058823,0.1608,29.6571,96.9727,3019.01,6e-06,1286,0.0,4.94e-06,32.5714,95.172
J8,4,10,0.045977,1,J,0,0,0.0294117647058823,0.1931,37.093,112.767,3038.97,6e-06,1545,0.0,4.68e-06,37.5943,100.1364
J9,3,11,0.037931,1,J,0,0,0.0294117647058823,0.2276,40.837,111.3988,3221.16,7e-06,1821,0.0,4.84e-06,37.7719,89.7791
J10,2,14,0.032184,1,J,0,1,0.0588235294117647,0.2816,35.4002,85.7098,3445.54,0.002607,2253,0.0,0.00248286,63.4641,225.4459
J11,1,18,0.02069,1,J,0,0,0.0294117647058823,0.3132,34.1122,77.7011,3558.54,0.005195,2506,0.0,0.00494514,42.0117,106.2198
Aux3,9,0,0.0,3,aux,2,0,0.0294117647058823,0.0312,5.0443,43.0476,2961.21,0.004029,250,0.0,0.00383518,8.2082,37.2645
JI18,10,2,0.022989,1,JI,1,1,0.0588235294117647,0.1235,16.1886,66.2881,2979.38,0.003975,988,0.0,0.00378316,13.8697,41.1589
JI2,9,5,0.051724,1,JI,1,0,0.0294117647058823,0.2091,15.8234,47.987,3025.94,0.010553,1673,0.0,0.01004972,13.2618,43.6943
JI3,8,8,0.073563,1,JI,1,0,0.0294117647058823,0.2871,13.5413,33.9897,3029.41,0.019199,2297,0.0,0.01827782,14.8495,47.7824
JI4,7,11,0.088506,1,JI,1,0,0.0294117647058823,0.3518,12.2256,25.5053,3049.72,0.025616,2814,0.0,0.0243842,12.9581,29.9354
JI5,6,15,0.103448,1,JI,1,0,0.0294117647058823,0.433,12.4027,22.1807,3051.92,0.035156,3464,0.0,0.03346606,11.8344,22.4518
JI6,8,1,0.017241,2,JI,1,0,0.0294117647058823,0.0606,7.9188,47.0629,2973.28,0.004016,485,0.292459,0.00382276,8.1665,35.292
JI7,7,1,0.01954,2,JI,1,0,0.0294117647058823,0.0598,6.5325,37.6294,3111.71,0.006587,478,0.0,0.00627644,7.2994,48.5992
JI8,3,1,0.012644,2,JI,1,0,0.0294117647058823,0.061,6.5708,41.7643,3081.13,0.006604,488,0.0,0.00628412,7.9166,41.149
JI9,2,2,0.02069,2,JI,1,0,0.0294117647058823,0.0945,7.6971,36.3938,3029.7,0.010327,756,0.0,0.00983094,7.4479,26.4673
JI10,4,17,0.078161,1,JI,1,0,0.0294117647058823,0.2818,10.0416,56.7094,3580.45,0.032072,2254,0.0,0.03054612,39.9256,149.9177
JI11,3,18,0.062069,1,JI,1,0,0.0294117647058823,0.0766,8.1734,52.3148,3751.72,0.030392,613,0.0,0.0289506,13.3759,43.2773
JI12,2,19,0.043678,1,JI,1,0,0.0294117647058823,0.048,7.6951,51.7352,4636.95,0.026448,384,0.0,0.02519828,9.1796,39.4068
JI13,1,20,0.022989,1,JI,1,0,0.0294117647058823,0.0539,6.0636,43.4551,4714.14,0.022202,431,0.0,0.02115764,2.5412,10.1738
O1,0,19,0.0,1,outfall,3,0,0.0294117647058823,0.3121,33.9347,77.3722,3557.99,0.005155,2497,0.0,0.00490776,41.7435,104.6989
O2,0,21,0.0,1,outfall,3,0,0.0294117647058823,0.0248,0.7018,2.9061,4975.44,0.020986,198,0.0,0.01999944,0.6434,1.2602
Well,5,16,0.091954,1,storage,4,0,0.0294117647058823,0.3005,3.4709,4.5904,3173.05,0.034654,2404,0.0,0.032988,3.2487,4.8157
