node_id,topo_depth,n_upstream_nodes,betweenness,downstream_paths,node_type,node_type_code,is_high_risk,prior_contam_prob,detection_freq,peak_conc_mean,peak_conc_std,time_to_peak_mean,mean_flow_m3s,n_scenarios_detected
J1,8,0,0.0,2,J,0,0,0.029411764705882353,0.0333,4.8782,26.719,3346.5,0.006604,1
J2a,4,0,0.0,2,J,0,0,0.029411764705882353,0.0667,32.3827,171.2717,1725.88,0.010408,2
J2,3,1,0.011494,2,J,0,0,0.029411764705882353,0.0667,31.6782,169.2238,1738.25,0.010401,2
J7,6,1,0.017241,2,J,0,0,0.029411764705882353,0.0333,1.1835,5.7532,2086.62,0.008719,1
J12,4,0,0.0,2,J,0,0,0.029411764705882353,0.1,12.2733,46.1577,3404.67,0.00661,3
J13,7,0,0.0,2,J,0,0,0.029411764705882353,0.0333,1.2977,6.2881,2083.38,0.008729,1
J3,8,1,0.004598,1,J,0,0,0.029411764705882353,0.0667,9.3023,35.4665,1438.38,5e-06,2
J4,7,3,0.024138,1,J,0,1,0.058823529411764705,0.0667,9.3023,35.4665,2499.62,3e-06,2
J5,6,6,0.041379,1,J,0,0,0.029411764705882353,0.1667,45.9228,120.913,2441.0,4e-06,5
J6,5,9,0.051724,1,J,0,0,0.029411764705882353,0.1667,36.8554,101.912,2660.0,4e-06,5
J8,4,10,0.045977,1,J,0,0,0.029411764705882353,0.2333,72.5682,200.6749,2727.11,4e-06,7
J9,3,11,0.037931,1,J,0,0,0.029411764705882353,0.2333,57.8383,163.3452,3008.68,4e-06,7
J10,2,14,0.032184,1,J,0,1,0.058823529411764705,0.2667,35.3068,81.26,3373.84,0.002611,8
J11,1,18,0.02069,1,J,0,0,0.029411764705882353,0.3,31.8491,70.66,3648.86,0.005205,9
Aux3,9,0,0.0,3,aux,2,0,0.029411764705882353,0.0333,3.552,19.4552,3837.25,0.004039,1
JI18,10,2,0.022989,1,JI,1,1,0.058823529411764705,0.1667,16.5913,44.6008,3168.45,0.003987,5
JI2,9,5,0.051724,1,JI,1,0,0.029411764705882353,0.2333,13.7384,31.2217,3267.14,0.01058,7
JI3,8,8,0.073563,1,JI,1,0,0.029411764705882353,0.2667,8.4929,18.113,3009.42,0.019237,8
JI4,7,11,0.088506,1,JI,1,0,0.029411764705882353,0.3667,10.8069,17.4739,3212.59,0.025648,11
JI5,6,15,0.103448,1,JI,1,0,0.029411764705882353,0.4333,17.3802,37.7338,2968.75,0.035204,13
JI6,8,1,0.017241,2,JI,1,0,0.029411764705882353,0.0333,3.4587,18.9439,3838.25,0.004025,1
JI7,7,1,0.01954,2,JI,1,0,0.029411764705882353,0.0667,6.0635,27.1988,3509.62,0.006604,2
JI8,3,1,0.012644,2,JI,1,0,0.029411764705882353,0.1333,15.015,47.2547,3532.31,0.006598,4
JI9,2,2,0.02069,2,JI,1,0,0.029411764705882353,0.1,28.5437,148.5044,1923.08,0.010346,3
JI10,4,17,0.078161,1,JI,1,0,0.029411764705882353,0.2333,2.8182,3.515,3706.54,0.032125,7
JI11,3,18,0.062069,1,JI,1,0,0.029411764705882353,0.0667,1.5019,1.8052,3799.89,0.030438,2
JI12,2,19,0.043678,1,JI,1,0,0.029411764705882353,0.0333,2.4516,9.2969,4550.99,0.026481,1
JI13,1,20,0.022989,1,JI,1,0,0.029411764705882353,0.0333,12.8665,67.4408,4587.02,0.022224,1
O1,0,19,0.0,1,outfall,3,0,0.029411764705882353,0.3,31.8048,70.5311,3654.03,0.005166,9
O2,0,21,0.0,1,outfall,3,0,0.029411764705882353,0.0333,0.5639,1.6859,4986.16,0.020995,1
Well,5,16,0.091954,1,storage,4,0,0.029411764705882353,0.2667,4.1016,5.7893,3078.82,0.0347,8
