node_id,topo_depth,n_upstream_nodes,betweenness,downstream_paths,node_type_code,is_high_risk,prior_contam_prob,detection_freq,peak_conc_mean,peak_conc_std,time_to_peak_mean,mean_flow_m3s,mean_dist_src
J3,8,1,0.004301,1,0,0,0.029411764705882353,0.0341,181.2773,1495.5232,6885.18,3e-06,-1.0
J4,7,3,0.022581,1,0,1,0.058823529411764705,0.1072,735.8401,3106.8364,8615.07,8e-06,-1.0
J5,6,7,0.045161,1,0,0,0.029411764705882353,0.1453,946.9407,3251.458,10326.05,1.1e-05,-1.0
J6,5,10,0.053763,1,0,0,0.029411764705882353,0.1864,1150.6214,3349.4724,10687.53,1.3e-05,-1.0
J7,6,1,0.016129,2,0,0,0.029411764705882353,0.0762,195.6381,1084.0049,10453.78,0.004435,-1.0
J8,4,11,0.047312,1,0,0,0.029411764705882353,0.2114,1352.1803,3834.1172,10988.36,1.4e-05,-1.0
J9,3,12,0.03871,1,0,0,0.029411764705882353,0.2435,1522.8453,3955.8117,11720.89,1.6e-05,-1.0
J10,2,15,0.032258,1,0,1,0.058823529411764705,0.3076,1846.9734,4170.1497,11766.86,2e-05,-1.0
J11,1,19,0.02043,1,0,0,0.029411764705882353,0.3447,1694.9148,3628.3881,13213.98,0.002203,-1.0
O1,0,20,0.0,1,3,0,0.029411764705882353,0.3437,1692.2124,3624.5286,13225.34,0.002158,-1.0
Aux3,9,0,0.0,3,0,0,0.029411764705882353,0.0381,142.7652,876.549,10477.21,0.001903,-1.0
J1,8,1,0.019355,2,0,0,0.029411764705882353,1.0,15.1894,0.482,491.2,0.003587,-1.0
JI7,7,2,0.036559,2,1,0,0.029411764705882353,1.0,67.6938,477.3686,841.11,0.003589,-1.0
J2a,4,0,0.0,2,0,0,0.029411764705882353,0.0261,79.0943,781.5574,10291.35,0.003824,-1.0
J2,3,1,0.010753,2,0,0,0.029411764705882353,0.0651,199.7721,1118.4619,10679.85,0.003829,-1.0
JI9,2,2,0.019355,2,1,0,0.029411764705882353,0.0982,273.4556,1247.6486,10355.72,0.003788,-1.0
JI6,8,1,0.016129,2,1,0,0.029411764705882353,0.0762,302.7366,1525.2722,10295.59,0.001905,-1.0
J13,7,0,0.0,2,0,0,0.029411764705882353,0.0381,87.5421,617.1138,9970.92,0.004423,-1.0
J12,4,0,0.0,2,0,0,0.029411764705882353,0.0341,60.2555,434.0145,10519.88,0.005252,-1.0
JI8,3,1,0.011828,2,1,0,0.029411764705882353,0.0611,131.9082,884.4566,10804.82,0.005228,-1.0
JI1,10,2,0.021505,1,1,0,0.029411764705882353,0.1062,423.1983,1795.7035,10457.46,0.001837,-1.0
JI2,9,6,0.058065,1,1,0,0.029411764705882353,1.0,300.2388,1079.3658,2185.27,0.005413,-1.0
JI3,8,9,0.077419,1,1,0,0.029411764705882353,1.0,337.628,935.4368,3349.84,0.009782,-1.0
JI4,7,12,0.090323,1,1,0,0.029411764705882353,0.3667,325.9771,769.5339,4482.11,0.014763,-1.0
JI5,6,16,0.103226,1,1,0,0.029411764705882353,0.49,376.6615,785.6129,5689.08,0.018311,-1.0
Well,5,17,0.091398,1,0,0,0.029411764705882353,0.49,146.9927,243.1186,8088.68,0.018209,-1.0
JI10,4,18,0.077419,1,1,0,0.029411764705882353,0.6042,436.4377,1723.2955,8551.19,0.018004,-1.0
JI11,3,19,0.06129,1,1,0,0.029411764705882353,0.6042,374.3303,1758.2823,10102.44,0.016031,-1.0
JI12,2,20,0.043011,1,1,0,0.029411764705882353,0.6122,313.6078,2058.7122,14557.34,0.012074,-1.0
JI13,1,21,0.022581,1,1,0,0.029411764705882353,0.6162,219.299,1369.5403,17401.0,0.008323,-1.0
O2,0,22,0.0,1,3,0,0.029411764705882353,0.5912,44.9215,138.5212,21324.99,0.007794,-1.0
entry,9,0,0.0,2,0,0,0.029411764705882353,1.0,101.0,0.0,341.71,0.000283,-1.0
