node_id,topo_depth,n_upstream_nodes,betweenness,downstream_paths,node_type_code,is_high_risk,prior_contam_prob,mean_dist_src,detection_freq,peak_conc_mean,peak_conc_std,time_to_peak_mean,mean_flow_m3s,n_scenarios_detected,flow_diversion_fraction,mean_wastewater_flux,mean_contaminant_flux,contaminant_flux_std
J3,8,1,0.004301,1,0,0,0.0294117647058823,-1.0,0.0375,179.304,933.298,6507.33,3e-06,3,0.0,3.46e-06,216.6322,1075.6962
J4,7,3,0.022581,1,0,1,0.0588235294117647,-1.0,0.1625,1434.7491,5356.0627,7846.23,1.2e-05,13,0.0,1.086e-05,1461.7264,6150.1862
J5,6,7,0.045161,1,0,0,0.0294117647058823,-1.0,0.2125,1661.5959,5369.9727,9638.41,1.6e-05,17,0.0,1.356e-05,1695.1566,6164.7938
J6,5,10,0.053763,1,0,0,0.0294117647058823,-1.0,0.2625,1815.0489,5075.0999,10292.29,1.8e-05,21,0.0,1.9e-05,1992.8456,5838.1475
J7,6,1,0.016129,2,0,0,0.0294117647058823,-1.0,0.1,277.964,1147.3358,8549.38,0.005335,8,0.0,0.00533512,234.3253,1067.4867
J8,4,11,0.047312,1,0,0,0.0294117647058823,-1.0,0.2625,1814.8915,5074.9247,10955.76,1.6e-05,21,0.0,1.774e-05,1992.6658,5837.9265
J9,3,12,0.03871,1,0,0,0.0294117647058823,-1.0,0.275,1845.8483,5015.0211,11178.14,1.7e-05,22,0.0,1.98e-05,2057.2602,5773.533
J10,2,15,0.032258,1,0,1,0.0588235294117647,-1.0,0.3875,2818.0976,6084.3947,10700.71,2.4e-05,31,0.0,2.604e-05,2439.3279,5505.0584
J11,1,19,0.02043,1,0,0,0.0294117647058823,-1.0,0.4,2126.6107,4525.6356,11853.31,0.002679,32,0.0,0.00268136,2242.7902,5142.6684
O1,0,20,0.0,1,3,0,0.0294117647058823,-1.0,0.4,2120.8064,4518.3479,11854.94,0.002621,32,0.0,0.00262286,2241.3481,5141.9418
Aux3,9,0,0.0,3,0,0,0.0294117647058823,-1.0,0.0,0.0,0.0,0.0,0.002294,0,0.0,0.00229356,0.0,0.0
J1,8,1,0.019355,2,0,0,0.0294117647058823,-1.0,0.025,64.3965,406.9791,8881.5,0.003979,2,0.0,0.0039768,0.0,0.0
JI7,7,2,0.036559,2,1,0,0.0294117647058823,-1.0,0.05,166.0311,807.7261,9376.75,0.003981,4,0.0,0.00398046,163.1971,893.7406
J2a,4,0,0.0,2,0,0,0.0294117647058823,-1.0,0.0375,132.247,748.3858,5067.67,0.004602,3,0.0,0.0045993,117.5201,830.9926
J2,3,1,0.010753,2,0,0,0.0294117647058823,-1.0,0.075,226.3065,888.1326,6675.0,0.004607,6,0.0,0.00460676,278.2671,1047.3133
JI9,2,2,0.019355,2,1,0,0.0294117647058823,-1.0,0.1125,270.7339,851.1172,6523.0,0.004555,9,0.0,0.00455608,356.4215,1003.185
JI6,8,1,0.016129,2,1,0,0.0294117647058823,-1.0,0.025,67.1849,539.8117,10247.5,0.002294,2,0.292459,0.00229264,0.0,0.0
J13,7,0,0.0,2,0,0,0.0294117647058823,-1.0,0.0375,104.3889,803.0303,9616.0,0.00532,3,0.0,0.00531962,158.9931,1014.0885
J12,4,0,0.0,2,0,0,0.0294117647058823,-1.0,0.0125,84.4988,755.7806,10389.0,0.006318,1,0.0,0.0063188,135.1981,955.9952
JI8,3,1,0.011828,2,1,0,0.0294117647058823,-1.0,0.025,109.7239,784.5196,10058.5,0.006286,2,0.0,0.00628682,175.5583,990.2002
JI1,10,2,0.021505,1,1,0,0.0294117647058823,-1.0,0.0625,323.7184,1948.5873,10194.8,0.002207,5,0.0,0.0022072,410.4537,2375.6453
JI2,9,6,0.058065,1,1,0,0.0294117647058823,-1.0,0.1125,329.2128,1310.2264,9831.78,0.00617,9,0.0,0.00616868,376.9178,1560.2815
JI3,8,9,0.077419,1,1,0,0.0294117647058823,-1.0,0.2625,416.75,1064.8751,9336.76,0.011423,21,0.0,0.01142202,395.0004,1161.3372
JI4,7,12,0.090323,1,1,0,0.0294117647058823,-1.0,0.3375,364.5151,785.6505,9509.11,0.017397,27,0.0,0.0173939,371.2864,891.925
JI5,6,16,0.103226,1,1,0,0.0294117647058823,-1.0,0.475,409.2816,671.9495,8574.53,0.021646,38,0.0,0.02164368,443.3951,764.3884
Well,5,17,0.091398,1,0,0,0.0294117647058823,-1.0,0.475,140.2871,213.795,9401.05,0.021517,38,0.0,0.02151488,148.0407,236.8685
JI10,4,18,0.077419,1,1,0,0.0294117647058823,-1.0,0.5625,443.7684,1477.6024,9996.96,0.020903,45,0.0,0.02090198,579.4941,1834.3896
JI11,3,19,0.06129,1,1,0,0.0294117647058823,-1.0,0.5625,300.0444,1269.4708,10412.33,0.018464,45,0.0,0.01846366,317.3585,1493.2701
JI12,2,20,0.043011,1,1,0,0.0294117647058823,-1.0,0.5875,684.9932,4822.9991,15556.0,0.013581,47,0.0,0.01357812,60.4246,133.1525
JI13,1,21,0.022581,1,1,0,0.0294117647058823,-1.0,0.5625,287.4571,1411.5887,15146.75,0.008993,45,0.0,0.00899132,389.8934,1745.672
O2,0,22,0.0,1,3,0,0.0294117647058823,-1.0,0.4625,47.1869,159.7733,15907.65,0.008345,37,0.0,0.00834254,52.572,179.527
entry,9,0,0.0,2,0,0,0.0294117647058823,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
