feature,importance_xgb,importance_lgbm
n_upstream_nodes,0.45718837,213
mean_wastewater_flux,0.30809543,25
mean_flow_m3s,0.12954558,106
peak_conc_mean,0.05270963,153
mean_contaminant_flux,0.018351905,7
topo_depth,0.010614452,45
downstream_paths,0.009292466,0
peak_conc_std,0.008903717,103
betweenness,0.0028120289,62
time_to_peak_mean,0.0009653079,17
node_type_code,0.00077131786,15
is_high_risk,0.00070259144,0
prior_contam_prob,3.810006e-05,0
flow_diversion_fraction,9.138169e-06,0
contaminant_flux_std,0.0,1
