node_id,raw_pred,prior_prob
J3,0.063743,0.009604
J4,0.178418,0.026882
J5,0.168968,0.025458
J6,0.266702,0.040183
J7,0.054077,0.008147
J8,0.274785,0.041401
J9,0.389301,0.058654
J10,0.273834,0.041257
J11,0.409946,0.061765
O1,0.415855,0.0
Aux3,0.037128,0.005594
J1,0.032695,0.004926
JI7,0.05039,0.007592
J2a,0.032629,0.004916
J2,0.077815,0.011724
JI9,0.074882,0.011282
JI6,0.032336,0.004872
J13,0.030465,0.00459
J12,0.041471,0.006248
JI8,0.061903,0.009327
JI1,0.090534,0.01364
JI2,0.203686,0.030689
JI3,0.390777,0.058877
JI4,0.478973,0.072165
JI5,0.337098,0.050789
Well,0.482819,0.072744
JI10,0.52209,0.078661
JI11,0.537668,0.081008
JI12,0.512383,0.077199
JI13,0.492747,0.07424
O2,0.520262,0.0
entry,0.036941,0.005566
