node_id,raw_pred,prior_prob
J3,0.014143,0.00216
J4,0.207566,0.031708
J5,0.224258,0.034258
J6,0.232027,0.035444
J7,0.033599,0.005133
J8,0.225415,0.034434
J9,0.243942,0.037264
J10,0.228131,0.034849
J11,0.312408,0.047723
O1,0.445006,0.0
Aux3,0.00762,0.001164
J1,0.021941,0.003352
JI7,0.045261,0.006914
J2a,0.015115,0.002309
J2,0.043574,0.006656
JI9,0.048077,0.007344
JI6,0.030235,0.004619
J13,0.022119,0.003379
J12,0.043439,0.006636
JI8,0.101127,0.015448
JI1,0.058739,0.008973
JI2,0.169863,0.025948
JI3,0.281794,0.043047
JI4,0.486203,0.074272
JI5,0.521998,0.07974
Well,0.579183,0.088476
JI10,0.585137,0.089385
JI11,0.600066,0.091666
JI12,0.60082,0.091781
JI13,0.559411,0.085455
O2,0.230464,0.0
entry,0.003019,0.000461
