node_id,raw_pred,prior_prob
J3,0.091617,0.008152
J4,0.113883,0.010133
J5,0.159979,0.014234
J6,0.198497,0.017661
J7,0.085946,0.007647
J8,0.186002,0.01655
J9,0.293088,0.026077
J10,0.257002,0.022867
J11,0.316085,0.028124
O1,0.339525,0.0
Aux3,0.078576,0.006991
J1,0.967463,0.08608
JI7,0.79588,0.070813
J2a,0.049401,0.004395
J2,0.055033,0.004897
JI9,0.162374,0.014447
JI6,0.09509,0.008461
J13,0.059306,0.005277
J12,0.267061,0.023762
JI8,0.104711,0.009317
JI1,0.108757,0.009677
JI2,0.884311,0.078681
JI3,0.888745,0.079076
JI4,0.92482,0.082286
JI5,0.433362,0.038558
Well,0.499216,0.044418
JI10,0.532923,0.047417
JI11,0.60133,0.053503
JI12,0.601234,0.053495
JI13,0.600067,0.053391
O2,0.508209,0.0
entry,0.827382,0.073616
